name,google_scholar_url,DBLP_url,is_scraped
Rabe Abdalkareem,https://scholar.google.ca/citations?hl=en&user=bCT8sjMAAAAJ,,1
Rafik Goubran,https://scholar.google.ca/citations?hl=en&user=Giy-AmwAAAAJ,https://dblp.org/pid/g/RafikAGoubran.html,1
Ramy H. Gohary,https://scholar.google.ca/citations?hl=en&user=rmZDQeAAAAAJ,,1
Richard Dansereau,https://scholar.google.com/citations?hl=en&user=RyOFutYAAAAJ,,1
Robert Biddle,https://scholar.google.ca/citations?hl=en&user=Z3jkhWIAAAAJ,,1
Robert Collier,https://scholar.google.ca/citations?hl=en&user=S2dlRG8AAAAJ,,1
Root Gorelick,https://scholar.google.ca/citations?hl=en&user=SYL6N9oAAAAJ,,1
Roshdy Hafez,https://scholar.google.ca/citations?hl=en&user=v207AiMAAAAJ,,1
Saban Alaca,,,1
Safaa Bedawi,,https://dblp.org/pid/03/7769.html,1
Sam Melkonian,,,1
Samuel Ajila,https://scholar.google.com/citations?hl=en&user=egWTJwMAAAAJ,,1
Sanjeena Dang,https://scholar.google.ca/citations?hl=en&user=SR-GssoAAAAJ,,1
Sanjoy Sinha,,,1
Shaghayegh (Rose) Gomar,,,1
Shikharesh Majumdar,https://scholar.google.ca/citations?hl=en&user=Jtd9L_4AAAAJ,,1
Shirley E. Mills,,https://dblp.dagstuhl.de/pid/55/3710.html,1
Song Cai,,,1
Sonia Chiasson,https://scholar.google.ca/citations?hl=en&user=wg8yZz8AAAAJ,,1
Sreeraman Rajan,https://scholar.google.ca/citations?hl=en&user=L0E4foIAAAAJ,,1
Steven (Qiang) Wang,https://scholar.google.ca/citations?hl=en&user=RTMHUqgAAAAJ,,1
Thomas Kunz,https://scholar.google.ca/citations?hl=en&user=hpoHOqYAAAAJ,,1
Utkarsh Dang,https://scholar.google.ca/citations?hl=en&user=Z9BKsswAAAAJ,,1
Wayne Horn,,,1
Wilf LaLonde,,https://dblp.org/pid/l/WRLaLonde.html,1
Wojciech Jaworski,,https://dblp.org/pid/91/4703.html,1
Yiqiang Zhao,https://scholar.google.ca/citations?hl=en&user=zAOZ4nYAAAAJ,,1
Yuhong Guo,https://scholar.google.com/citations?hl=en&user=Q7VKnRYAAAAJ,,1
Yuly Billig,https://scholar.google.com/citations?hl=en&user=acfrzNQAAAAJ,,1
Yunran Wei,https://scholar.google.fr/citations?hl=en&user=OnMMSAIAAAAJ,,1
Yuu Ono,https://scholar.google.com/citations?hl=en&user=zkukRoIAAAAJ,,1
Yvan Labiche,https://scholar.google.com/citations?hl=en&user=YaZpm7h6qnwC,,1
